City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
284,leningradskiy,84,RU,1557970071,85,69.38,178.42,21.14,4.99
285,christchurch,15,NZ,1557969916,76,-43.53,172.64,52.0,29.97
286,vila franca do campo,75,PT,1557968400,100,37.72,-25.43,62.6,10.29
287,praya,75,ID,1557968400,78,-8.71,116.27,82.4,8.3
288,marquette,5,US,1557970328,52,46.54,-87.4,46.99,8.05
289,mount isa,40,AU,1557968400,51,-20.73,139.49,82.4,13.87
290,newmarket,20,CA,1557970090,71,44.06,-79.46,60.01,6.93
291,mahajanga,40,MG,1557968400,88,-15.72,46.32,75.2,3.76
292,bambous virieux,20,MU,1557969849,88,-20.34,57.76,68.0,3.36
293,antrim,0,GB,1557970102,75,54.72,-6.22,50.0,3.36
294,jalu,0,LY,1557970396,56,29.03,21.55,64.57,10.87
295,jaru,81,BR,1557970396,80,-10.43,-62.48,66.73,4.74
296,san joaquin,39,PH,1557970397,49,10.59,122.14,94.56,3.87
297,brookings,1,US,1557970077,50,44.31,-96.8,78.8,12.75
298,sosnovo,0,RU,1557970392,70,60.56,30.25,42.01,1.7
299,moose factory,1,CA,1557968400,55,51.26,-80.61,39.2,3.36
300,cherskiy,33,RU,1557970094,80,68.75,161.3,26.98,4.34
301,santa ana,20,SV,1557969455,78,13.99,-89.56,78.8,9.17
302,panaba,26,MX,1557970397,75,21.28,-88.27,82.34,7.07
303,strezhevoy,0,RU,1557968400,76,60.73,77.6,32.0,4.47
304,kazanka,0,UA,1557968400,72,47.83,32.83,60.8,8.95
305,jamsa,0,FI,1557970047,76,61.86,25.19,34.0,1.12
306,chuy,1,UY,1557970088,70,-33.69,-53.46,64.58,9.75
307,keti bandar,3,PK,1557970398,86,24.14,67.45,81.54,12.53
308,mar del plata,100,AR,1557969791,72,-46.43,-67.52,50.72,14.67
309,goderich,1,CA,1557970059,75,43.74,-81.71,55.99,8.01
310,saint anthony,75,US,1557970215,42,43.97,-111.68,71.6,5.82
